source,cloud,region,latitude,longitude
#Cockroach labs from
#https://www.cockroachlabs.com/docs/stable/enable-node-map.html#aws-locations
cockroach,AWS,us-east-1,37.478397,-76.453077
cockroach,AWS,us-east-2,40.417287,-76.453077
cockroach,AWS,us-west-1,38.837522,-120.895824
cockroach,AWS,us-west-2,43.804133,-120.554201
cockroach,AWS,ca-central-1,56.130366,-106.346771
cockroach,AWS,eu-central-1,50.110922,8.682127
cockroach,AWS,eu-west-1,53.142367,-7.692054
cockroach,AWS,eu-west-2,51.507351,-0.127758
cockroach,AWS,eu-west-3,48.856614,2.352222
cockroach,AWS,ap-northeast-1,35.689487,139.691706
cockroach,AWS,ap-northeast-2,37.566535,126.977969
cockroach,AWS,ap-northeast-3,34.693738,135.502165
cockroach,AWS,ap-southeast-1,1.352083,103.819836
cockroach,AWS,ap-southeast-2,-33.86882,151.209296
cockroach,AWS,ap-south-1,19.075984,72.877656
cockroach,AWS,sa-east-1,-23.55052,-46.633309
cockroach,GCP,us-east1,33.836082,-81.163727
cockroach,GCP,us-east4,37.478397,-76.453077
cockroach,GCP,us-central1,42.032974,-93.581543
cockroach,GCP,us-west1,43.804133,-120.554201
cockroach,GCP,northamerica-northeast1,56.130366,-106.346771
cockroach,GCP,europe-west1,50.44816,3.81886
cockroach,GCP,europe-west2,51.507351,-0.127758
cockroach,GCP,europe-west3,50.110922,8.682127
cockroach,GCP,europe-west4,53.4386,6.8355
cockroach,GCP,europe-west6,47.3769,8.5417
cockroach,GCP,asia-east1,24.0717,120.5624
cockroach,GCP,asia-northeast1,35.689487,139.691706
cockroach,GCP,asia-southeast1,1.352083,103.819836
cockroach,GCP,australia-southeast1,-33.86882,151.209296
cockroach,GCP,asia-south1,19.075984,72.877656
cockroach,GCP,southamerica-east1,-23.55052,-46.633309
cockroach,AZ,eastasia,22.267,114.188
cockroach,AZ,southeastasia,1.283,103.833
cockroach,AZ,centralus,41.5908,-93.6208
cockroach,AZ,eastus,37.3719,-79.8164
cockroach,AZ,eastus2,36.6681,-78.3889
cockroach,AZ,westus,37.783,-122.417
cockroach,AZ,northcentralus,41.8819,-87.6278
cockroach,AZ,southcentralus,29.4167,-98.5
cockroach,AZ,northeurope,53.3478,-6.2597
cockroach,AZ,westeurope,52.3667,4.9
cockroach,AZ,japanwest,34.6939,135.5022
cockroach,AZ,japaneast,35.68,139.77
cockroach,AZ,brazilsouth,-23.55,-46.633
cockroach,AZ,australiaeast,-33.86,151.2094
cockroach,AZ,australiasoutheast,-37.8136,144.9631
cockroach,AZ,southindia,12.9822,80.1636
cockroach,AZ,centralindia,18.5822,73.9197
cockroach,AZ,westindia,19.088,72.868
cockroach,AZ,canadacentral,43.653,-79.383
cockroach,AZ,canadaeast,46.817,-71.217
cockroach,AZ,uksouth,50.941,-0.799
cockroach,AZ,ukwest,53.427,-3.084
cockroach,AZ,westcentralus,40.890,-110.234
cockroach,AZ,westus2,47.233,-119.852
cockroach,AZ,koreacentral,37.5665,126.9780
cockroach,AZ,koreasouth,35.1796,129.0756
cockroach,AZ,francecentral,46.3772,2.3730
cockroach,AZ,francesouth,43.8345,2.1972
