source,cloud,region,latitude,longitude
sunshower,AWS,us-east-1,39,-78
sunshower,AWS,us-east-2,40,-83
sunshower,AWS,us-west-1,37,-121
sunshower,AWS,us-west-2,44,-121
sunshower,AWS,us-gov-west-1,40,-104
sunshower,AWS,us-gov-east-1,39,-78
sunshower,AWS,ca-central-1,45,-74
sunshower,AWS,eu-north-1,59,18
sunshower,AWS,eu-west-1,53,-6
sunshower,AWS,eu-west-2,51,0
sunshower,AWS,eu-west-3,48,2
sunshower,AWS,eu-central-1,50,9
sunshower,AWS,ap-northeast-1,36,140
sunshower,AWS,ap-northeast-2,38,126.97
sunshower,AWS,ap-northeast-3,35,135.97
sunshower,AWS,ap-southeast-1,1.35,103.81
sunshower,AWS,ap-southeast-2,-33.86,151
sunshower,AWS,ap-south-1,19,72.9
sunshower,AWS,sa-east-1,-23.5,-46.6
sunshower,AWS,cn-north-1,40,116.4
sunshower,AWS,cn-northwest-1,37,106
