source,cloud,region,latitude,longitude
yugabyte,GCP,asia-east1,23.9919519,120.3300829
yugabyte,GCP,asia-east2,22.319304,114.169361
yugabyte,GCP,asia-southeast1,1.352083,103.819836
yugabyte,GCP,asia-southeast2,-6.208763,106.845599
yugabyte,GCP,asia-northeast1,35.689488,139.691706
yugabyte,GCP,asia-northeast2,34.693725,135.502254
yugabyte,GCP,asia-northeast3,37.566535,126.977969
yugabyte,GCP,asia-south1,19.0825223,72.7411014
yugabyte,GCP,asia-south2,28.704059,77.10249
yugabyte,GCP,us-central1,41.2326957,-95.9167207
yugabyte,GCP,us-west1,45.6094756,-121.2088799
yugabyte,GCP,us-west2,34.052235,-118.243683
yugabyte,GCP,us-west3,40.7608,-111.891
yugabyte,GCP,us-west4,36.1699,-115.1398
yugabyte,GCP,us-east1,33.1637261,-80.1845003
yugabyte,GCP,us-east4,39.0300218,-77.5121424
yugabyte,GCP,northamerica-northeast1,45.5581968,-73.8703852
yugabyte,GCP,northamerica-northeast2,43.653226,-79.383184
yugabyte,GCP,southamerica-east1,-22.5255058,50.8793713
yugabyte,GCP,europe-central2,52.229676,21.012229
yugabyte,GCP,europe-west1,50.489824,3.7378805
yugabyte,GCP,europe-west2,51.500152,-0.126236
yugabyte,GCP,europe-west3,50.111512,8.680506
yugabyte,GCP,europe-west4,53.4356948,6.7980783
yugabyte,GCP,europe-west6,47.376887,8.541694
yugabyte,GCP,europe-north1,60.5695912,27.2097431
yugabyte,GCP,australia-southeast1,-33.867139,151.207114
yugabyte,GCP,australia-southeast2,-37.813628,144.963058
