timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt,gcp_vm,aws_vm
2022-02-17T10:31:28Z,itipil,GCP,us-east1,GCP,europe-central2,254935040.0,111.543,e2-small,
2022-02-17T10:33:43Z,ujoboz,GCP,us-east1,GCP,europe-central2,265158656.0,111.929,e2-small,
2022-02-17T10:42:57Z,ububac,GCP,us-west3,AWS,us-west-2,205914112.0,40.614,e2-small,t3.nano
2022-02-17T10:42:07Z,ububac,AWS,us-west-2,GCP,us-west3,709885952.0,40.095,e2-small,t3.nano
2022-02-17T10:41:43Z,ububac,AWS,us-west-2,GCP,us-west4,718012416.0,40.544,e2-small,t3.nano
2022-02-17T10:42:32Z,ububac,GCP,us-west3,GCP,us-west4,1181351936.0,19.845,e2-small,
2022-02-17T10:41:19Z,ububac,GCP,us-west4,GCP,us-west3,1194459136.0,19.938,e2-small,
2022-02-17T10:40:41Z,ububac,GCP,us-west4,AWS,us-west-2,228196352.0,39.477,e2-small,t3.nano
2022-02-17T10:52:57Z,iqeqaj,GCP,us-west2,AWS,us-east-2,143785984.0,67.905,e2-small,t3.nano
2022-02-17T10:53:19Z,iqeqaj,AWS,us-east-2,AWS,us-west-1,171835392.0,51.767,,t3.nano
2022-02-17T10:52:30Z,iqeqaj,GCP,us-west2,AWS,us-west-1,831258624.0,10.349,e2-small,t3.nano
2022-02-17T10:52:04Z,iqeqaj,AWS,us-west-1,AWS,us-east-2,169869312.0,51.779,,t3.nano
2022-02-17T10:51:40Z,iqeqaj,AWS,us-west-1,GCP,us-west2,1820852224.0,10.3,e2-small,t3.nano
2022-02-17T10:53:42Z,iqeqaj,AWS,us-east-2,GCP,us-west2,435552256.0,67.74,e2-small,t3.nano
2022-02-17T12:15:46Z,iwecon,GCP,us-east4,AWS,us-east-1,1198391296.0,2.95,e2-small,t3.nano
2022-02-17T12:14:13Z,iwecon,GCP,us-west1,GCP,us-east4,525729792.0,58.472,e2-small,
2022-02-17T12:13:47Z,iwecon,GCP,us-west1,AWS,us-east-1,138805248.0,63.156,e2-small,t3.nano
2022-02-17T12:15:22Z,iwecon,GCP,us-east4,GCP,us-west1,522321920.0,58.855,e2-small,
2022-02-17T12:14:57Z,iwecon,AWS,us-east-1,GCP,us-east4,4928307200.0,3.007,e2-small,t3.nano
2022-02-17T12:14:35Z,iwecon,AWS,us-east-1,GCP,us-west1,466485248.0,63.131,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,southamerica-east1,AWS,eu-west-2,44302336,191.368,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,us-central1,GCP,asia-southeast2,128712704,207.831,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west2,AWS,ap-northeast-1,37486592,222.578,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-1,GCP,europe-west4,1180434432,21.201,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-3,GCP,asia-southeast1,127401984,203.746,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-southeast-2,GCP,asia-southeast1,305266688,93.254,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-north1,GCP,europe-west1,901120000,34.593,e2-small,
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,eu-west-1,AWS,eu-central-1,361889792,23.605,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-southeast-1,AWS,eu-west-2,49807360,170.157,,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ap-southeast-1,GCP,asia-southeast2,1789001728,15.744,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,asia-south1,AWS,ap-southeast-2,56754176,152.255,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,GCP,europe-west3,AWS,ap-south-1,63569920,134.631,e2-small,t3.nano
2022-02-17T12:30:21.798332Z,ekoqaf,AWS,ca-central-1,AWS,eu-west-1,125304832,68.622,,t3.nano
